Oogstdatum,Oogstjaar,Perceel,Ras,Tonnen,Koeling of,Datum laatste bespuiting,Middel en dosering/ha,Veiligheidstermijn (dgn.),Opmerkingen
12-10-15,2015,2b/4,golden,4.2,koeling,18-Sep,"0,6kg captan w6",7,
12-10-15,2015,2c,junami,2.7,koeling,26-Sep,"0,6kg captan w6",7,
13-10-15,2015,5,junami,17.1,koeling,26-Sep,"0,6kg captan w6",7,
14-10-15,2015,5,junami,4.8,koeling,26-Sep,"0,6kg captan w6",7,
15-10-15,2015,5,junami,9.6,koeling,26-Sep,"0,6kg captan w6",7,
16-10-15,2015,5,junami,19.5,koeling,26-Sep,"0,6kg captan w6",7,
17-10-15,2015,5,golden,4.5,afgezet,26-Sep,"0,6kg captan w6",7,
18-10-15,2015,6,Joly-red,3.6,koeling,18-Sep,"0,6kg captan w6",7,
18-10-15,2015,5,kroet,2.1,afgezet,26-Sep,"0,6kg captan w6",7,
19-10-15,2015,5,junami,17.7,koeling,26-Sep,"0,6kg captan w6",7,
20-10-15,2015,5,junami,21,koeling,26-Sep,"0,6kg captan w6",7,
21-10-15,2015,5,junami,11.4,koeling,26-Sep,"0,6kg captan w6",7,
21-10-15,2015,6,Joly-red,7.2,koeling,18-Sep,"0,6kg captan w6",7,
22-10-15,2015,6,Joly-red,16.8,koeling,18-Sep,"0,6kg captan w6",7,
23-10-15,2015,6,Joly-red,23.1,koeling,18-Sep,"0,6kg captan w6",7,
24-10-15,2015,6,Joly-red,2.7,koeling,18-Sep,"0,6kg captan w6",7,
24-10-15,2015,6,golden,8.1,afgezet,18-Sep,"0,6kg captan w6",7,
24-10-15,2015,6,kroet,4.8,afgezet,18-Sep,"0,6kg captan w6",7,
26-10-15,2015,2c,junami,19.2,koeling,26-Sep,"0,6kg captan w6",7,
27-10-15,2015,2c,junami,22.2,koeling,26-Sep,"0,6kg captan w6",7,
28-10-15,2015,2c,junami,18.6,koeling,26-Sep,"0,6kg captan w6",7,
29-10-15,2015,2c,junami,14.4,koeling,26-Sep,"0,6kg captan w6",7,
30-10-15,2015,2c,junami,6,koeling,26-Sep,"0,6kg captan w6",7,
30-10-15,2015,4,Joly-red,5.4,koeling,18-Sep,"0,6kg captan w6",7,
30-10-15,2015,3,Elstar,3.3,afgezet,14-Aug,"0,6kg captan w6",7,
31-10-15,2015,2c,junami,5.1,koeling,26-Sep,"0,6kg captan w6",7,
31-10-15,2015,2c/4,kroet,7.8,afgezet,26-Sep,"0,6kg captan w6",7,
01-11-15,2015,1,braeburn,0.3,afgezet,22-Jul,"1,5kg captan w7",7,
01-11-15,2015,1,golden,0.9,afgezet,22-Jul,"0,6kg captan w6",7,
02-11-15,2015,6,Joly-red,8.4,koeling,18-Sep,"0,6kg captan w6",7,
03-11-15,2015,6,Joly-red,3,koeling,18-Sep,"0,6kg captan w6",7,
03-11-15,2015,5,junami,4.8,koeling,26-Sep,"0,6kg captan w6",7,
04-11-15,2015,5,junami,8.1,koeling,26-Sep,"0,6kg captan w6",7,
04-11-15,2015,5,golden,2.1,afgezet,26-Sep,"0,6kg captan w6",7,
05-11-15,2015,4a,jonagored,12.6,afgezet,18-Sep,"0,6kg captan w6",7,
06-11-15,2015,3,Elstar,11.4,afgezet,14-Aug,"0,6kg captan w6",7,
06-11-15,2015,1/3/4a/5/6,kroet,16.2,afgezet,26-Sep,"0,6kg captan w6",7,
28-Aug,2014,1,Zari,9,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
02-Sep,2014,2b,Elstar,2.4,afgezet,31-Jul,"Bellis 0,8 kg/ha",7 dgn,
03-Sep,2014,2b,Elstar,12,afgezet,31-Jul,"Bellis 0,8 kg/ha",7 dgn,
04-Sep,2014,2b,Elstar,10.5,afgezet,31-Jul,"Bellis 0,8 kg/ha",7 dgn,
05-Sep,2014,2b,Elstar,3,afgezet,31-Jul,"Bellis 0,8 kg/ha",7 dgn,
06-Sep,2014,3,Elstar,4.8,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
08-Sep,2014,3,Elstar,18.6,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
09-Sep,2014,3,Elstar,20.4,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
10-Sep,2014,3,Elstar,17.4,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
11-Sep,2014,3,Elstar,19.2,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
12-Sep,2014,3,Elstar,19.2,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
13-Sep,2014,3,Elstar,4.8,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
15-Sep,2014,3,Elstar,21.9,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
16-Sep,2014,3,Elstar,24,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
17-Sep,2014,3,Elstar,18,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
18-Sep,2014,3,Elstar,2.4,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
18-Sep,2014,2b,Elstar,9,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
19-Sep,2014,2b,Elstar,16.2,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
19-Sep,2014,1,Golden,0.6,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
20-Sep,2014,1-2b-2c,Golden,4.8,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,Bestuivers. Voor besp. Geplukt
22-Sep,2014,2a,Golden,17.4,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
23-Sep,2014,2a,Golden,15.6,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
24-Sep,2014,2a,Golden,17.4,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
25-Sep,2014,2a,Golden,6,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
26-Sep,2014,2a,Golden,5.1,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
27-Sep,2014,4,Joly-red,7.2,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
29-Sep,2014,4,Joly-red,8.4,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
29-Sep,2014,5,Golden,9.6,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
29-Sep,2014,5,Junami,0.3,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
30-Sep,2014,5,Junami,14.1,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
01-Oct,2014,5,Junami,14.1,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
02-Oct,2014,5,Junami,11.7,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
02-Oct,2014,2c,Junami,3.3,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
03-Oct,2014,2c,Junami,15.6,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
04-Oct,2014,2c,Junami,1.8,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
06-Oct,2014,2c,Junami,11.4,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
07-Oct,2014,2c,Junami,4.8,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
08-Oct,2014,2c,Junami,4.8,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
08-Oct,2014,4,Joly-red,2.4,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
09-Oct,2014,4,Joly-red,4.8,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
09-Oct,2014,2c,Junami,0.9,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
11-Oct,2014,1,Braeburn,1.2,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
11-Oct,2014,5,Junami,2.4,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
13-Oct,2014,5,Junami,14.1,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
14-Oct,2014,5,Junami,18.6,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
15-Oct,2014,5,Junami,21.6,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
16-Oct,2014,5,Junami,6.6,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
16-Oct,2014,2c,Junami,6,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
17-Oct,2014,2c,Junami,16.2,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
18-Oct,2014,2c,Junami,3,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
18-Oct,2014,2c-5,kroet,2.4,afgezet,20-Sep,"Switch 0,8 kg/ha",7 dgn,
20-Oct,2014,2c,Junami,14.7,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
20-Oct,2014,4,Joly-red,3.6,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
21-Oct,2014,4,Joly-red,2.4,koeling,12-Sep,"Switch 0,8 kg/ha",7 dgn,
21-Oct,2014,2c,Junami,1.8,koeling,20-Sep,"Switch 0,8 kg/ha",7 dgn,
21-Oct,2014,4a,Jonagored,15.6,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
21-Oct,2014,2c,kroet,0.6,afgezet,20-Sep,"Switch 0,8 kg/ha",7 dgn,
22-Oct,2014,4a,Jonagored,1.2,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
23-Oct,2014,4a,Jonagored,6,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
23-Oct,2014,1,Braeburn,1.2,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
25-Oct,2014,4a,Jonagored,2.4,afgezet,31-Jul,"Captan 0,7 kg/ha",7 dgn,
04-Sep,2013,1,zari,0.45,afgezet,24-Jul,captan 1.5 kg,21,
09-Sep,2013,3,elstar,3.6,afgezet,01-Sep,"captan 0,6kg",7,
14-Sep,2013,1,zari,1.2,afgezet,24-Jul,captan 1.5 kg,21,
16-Sep,2013,3,elstar,16.2,afgezet,01-Sep,"captan 0,6kg",7,
17-Sep,2013,3,elstar,5.4,afgezet,01-Sep,"captan 0,6kg",7,
17-Sep,2013,3,elstar,10.8,koeling,01-Sep,"captan 0,6kg",7,
18-Sep,2013,3,elstar,4.2,koeling,01-Sep,"captan 0,6kg",7,
19-Sep,2013,3,elstar,6,koeling,01-Sep,"captan 0,6kg",7,
20-Sep,2013,3,elstar,12.6,koeling,01-Sep,"captan 0,6kg",7,
21-Sep,2013,3,elstar,3.9,koeling,01-Sep,"captan 0,6kg",7,
21-Sep,2013,3,moes,2.25,afgezet,01-Sep,"captan 0,6kg",7,
23-Sep,2013,3,elstar,4.8,koeling,01-Sep,"captan 0,6kg",7,
23-Sep,2013,2b,elstar,15.3,koeling,13-Sep,"captan 0,6kg",7,
24-Sep,2013,2b,elstar,23.7,koeling,13-Sep,"captan 0,6kg",7,
25-Sep,2013,2b,elstar,3,koeling,13-Sep,"captan 0,6kg",7,
25-Sep,2013,3,elstar,18,koeling,01-Sep,"captan 0,6kg",7,
26-Sep,2013,3,elstar,20.4,koeling,01-Sep,"captan 0,6kg",7,
27-Sep,2013,3,elstar,12.3,koeling,01-Sep,"captan 0,6kg",7,
28-Sep,2013,1 en 5,golden,8.4,koeling,06-Sep,"captan 1,2kg",21,
28-Sep,2013,1-2b-3-5,moes,3.9,afgezet,13-Sep,"captan 0,6kg",7,
30-Sep,2013,2a,golden,14.4,koeling,23-Sep,"switsch 0,8kg",3,
30-Sep,2013,3,elstar,3,koeling,01-Sep,"captan 0,6kg",7,
